TIMESTAMP;LC2110_PV;PIC2209_PV;PIC2210_PV;PI2202_PV;PC2108_PV;PC2201_PV;YI2201_PV;RO2201_FV;RD2201_FV;RO2109_FV;FC2202_PV;PI2203_PV;SC2201_PV;CI2201_FV;FC2203_PV;TI2207_PV;FC2204_PV;SC2105_PV;YY2105_PV;DYNA_VIB_RADIAL_H_LOA_DROPIN_RD_2201;DYNA_ACEL_RADIAL_H_LOA_DROPIN_RD_2201;DYNA_VIB_RADIAL_H_LA_DROPIN_RD_2201;DYNA_ACEL_RADIAL_H_LA_DROPIN_RD_2201;DYNA_VIB_AXIAL_LA_DROPIN_RD_2201;DYNA_VIB_AXIAL_LA_MOTOR_RD_2201;RD2201_V_TENS_MCM;RD2201_I_CORR_MCM;RD2201_VEL_MCM;RD2201_FP_MCM;RD2201_FC_MCM;RD2201_FSEXT_MCM;RD2201_FSROT_MCM;RD2201_FSALI_MCM;RD2201_FSEST_MCM;RD2201_FSCAR_MCM;ZIC2214_PV;XI2223_PV;XI2225_PV;XI2224_PV;ZIC2213_PV
2022-07-03 06:11:00-03:00;45.75988;352.1216;352.1216;28.32157;184.7139;233.4129;1.582805;225.1897;11.41177;10.9051;136.117;5.767098;119.6454;8.104882;107.0863;83.01632;31.87695;18.0124;7.208029;0.1496887;0.0;1.331232;0.0625;0.7818741;2.751653;13106.1;520.105;1795.238;0.734;62.197;0.022;0.028;0.189;0.6;0.902;1.088716;0.3633497;0.4671258;0.3106043;0.5918499
2022-07-03 06:12:00-03:00;49.20142;353.8192;353.8192;28.85994;183.9426;233.6576;1.520002;232.1048;10.91196;12.43887;134.6398;5.685851;119.6088;7.945091;106.7595;83.01876;31.88337;18.01052;7.207251;0.1496887;0.0;1.271356;0.0625;0.7669052;2.774106;13106.71;517.16;1795.336;0.738;61.684;0.024;0.026;0.188;0.63;0.954;1.087689;0.3634458;0.4672974;0.3106988;0.5918595
2022-07-03 06:13:00-03:00;52.97776;349.4317;349.4317;25.4265;178.0612;227.2928;1.488812;230.4587;10.7026;11.17763;134.2484;5.924826;119.5722;7.968257;107.3817;83.0212;31.8898;18.00864;7.206472;0.1496887;0.0;1.211481;0.0625;0.7519364;2.79656;13107.32;514.215;1795.434;0.742;61.171;0.026;0.024;0.187;0.66;1.006;1.086661;0.3635418;0.4674691;0.3107933;0.591869
2022-07-03 06:14:00-03:00;57.19859;349.3492;349.3492;26.97055;178.1323;228.1107;1.447204;230.7917;10.42522;11.44352;136.0545;6.034392;119.5355;7.997551;107.3195;83.02364;31.89622;18.00676;7.205694;0.1496887;0.0;1.19751;0.0625;0.7943482;2.819013;13107.93;511.27;1795.532;0.746;60.658;0.028;0.022;0.186;0.69;1.058;1.085634;0.3636379;0.4676408;0.3108878;0.5918785
2022-07-03 06:15:00-03:00;61.80627;347.1935;347.1935;28.00407;177.3773;228.48;1.528991;241.9927;11.02706;11.48555;133.5768;5.46737;119.8598;8.157068;107.2401;83.02608;31.90265;18.00488;7.204916;0.1496887;0.0;1.19751;0.0625;0.8542237;2.841466;13108.54;508.325;1795.63;0.75;60.145;0.03;0.02;0.185;0.72;1.11;1.084606;0.363734;0.4678124;0.3109823;0.5918881
2022-07-03 06:16:00-03:00;61.85633;348.5421;348.5421;27.7788;176.4039;226.5591;1.477864;250.4328;10.66558;11.14007;135.1546;6.193319;119.672;8.137536;107.3181;83.02853;31.90907;18.003;7.204137;0.1496887;0.0;1.19751;0.0625;0.9140992;2.86392;13109.16;505.38;1795.728;0.754;59.632;0.032;0.018;0.184;0.75;1.162;1.083579;0.3638301;0.4679841;0.3110768;0.5918977
2022-07-03 06:17:00-03:00;61.50731;347.5526;347.5526;26.30885;181.0168;229.8407;1.597243;232.7877;11.44654;11.75703;136.0321;6.083934;119.7511;8.118004;107.4529;83.03097;31.82472;18.00112;7.203359;0.1496887;0.0;1.19751;0.0625;0.9739746;2.886373;13109.77;502.435;1795.826;0.758;59.119;0.034;0.016;0.183;0.78;1.214;1.082551;0.3639261;0.4681557;0.3111714;0.5919072
2022-07-03 06:18:00-03:00;56.18708;348.7713;348.7713;27.88418;184.3104;230.1779;1.478321;239.9132;10.65787;11.96839;133.1684;5.858658;119.8302;8.098472;107.5424;83.03341;31.82045;17.99924;7.202581;0.1496887;0.0;1.19751;0.0625;1.03385;2.908826;13110.38;499.49;1795.924;0.762;58.606;0.036;0.014;0.182;0.81;1.266;1.081523;0.3640222;0.4683274;0.3112659;0.5919167
2022-07-03 06:19:00-03:00;49.84251;350.5851;350.5851;27.4706;181.5528;233.5324;1.515633;232.3457;10.91739;11.00717;136.0249;5.293188;119.7083;8.078939;107.1974;83.03585;31.81617;17.99736;7.201803;0.1496887;0.0;1.19751;0.0625;1.093726;2.91893;13110.99;496.545;1796.022;0.766;58.093;0.038;0.012;0.181;0.84;1.318;1.080496;0.3641183;0.4684991;0.3113604;0.5919263
2022-07-03 06:20:00-03:00;45.13791;347.1152;347.1152;27.53086;179.1291;230.8426;1.415189;232.1621;10.18595;10.88184;135.3832;5.230635;119.6712;7.954102;107.2381;83.03829;31.8119;17.99548;7.201025;0.1496887;0.0;1.19751;0.0625;1.153601;2.91893;13111.6;493.6;1796.12;0.77;57.58;0.04;0.01;0.18;0.87;1.37;1.079468;0.3642144;0.4686707;0.3114549;0.5919358
